ID,,,File,,Nme/Modello,Tipologia,Colore principale,Cos'è raffigurato,Peso,Materiale principale ,Materiale secondario,Colore Principale Codice,Colore Secondario Codice,Colori secondari,Condizoni,Tipo di anello,Numero di anelli agganciati,Chiavi,Numero chiavi,URL
Anna,001,001,001_Anna_001.jpg,,Yoshi,Personaggio,Verde,Yoshi Supermario,4 g,Plastica,,#39b54a,#39b54a,"Rosso, Bianco",Parti mancanti,Cordicella,0,No,,
Anna,002,002,002_Anna_002.jpg,,Funko,Personaggio,Nero,Funko Malocchio,10 g,Plastica,,#050505,#39b54a,"Giallo, Rosa",Usurato,Moschettone,1,Si,,
Anna,003,003,003_Anna_003.jpg,,Luigi,Personaggio,Bianco,Luigi Supermario,4 g,Plastica,,#fafafa,#39b54a,"Nero, Verde",Usurato,Cordicella,0,No,,
Anna,004,004,004_Anna_004.jpg,,Rimuovere prima del volo,Ciondoli,Rosso,,9 g,Tessuto,,#ff0000,#39b54a,,Usurato,Anello singolo,1,Si,,
Anna,005,005,005_Anna_005.jpg,,Moschettone,Moschettone,Grigio,,5 g,Metallo,,#b3b3b3,#39b54a,,Graffi,Moschettone,1,Si,,
Anna,006,006,006_Anna_006.jpg,,Leaf,Personaggio,Rosso,Insetto Mascotte,2 g,Sughero,,#ff0000,#39b54a,Nero,Ottime condizioni,Anello singolo,1,Si,,
Anna,007,007,007_Anna_007.jpg,,Peperoncino,Portafortuna,Rosso,,4 g,Plastica,,#ff0000,#39b54a,,Usurato,Anello singolo,1,No,,
Anna,008,008,008_Anna_008.jpg,,Boop,Ciondoli,Blu,Boop Magazine,3 g,Plastica,,#0000ff,#39b54a,Nero,Usurato,Anello con catenella,1,No,,
Anna,009,009,009_Anna_009.jpg,,TeamCro,Personaggio,Nero,Mascotte TeamCro,6 g,Gomma,,#050505,#39b54a,Bianco,Ottime condizioni,"Anello singolo, Cordicella",1,Si,,
Irene,010,001,010_Irene_001.jpg,,Lanyard Tedua,Lanyard,Nero,,22 g,Tessuto,,#050505,#39b54a,Bianco,Usurato,Mini Moschettone,1,Si,,
Irene,011,002,011_Irene_002.jpg,,Lanyard Verde,Lanyard,Verde,,12 g,Tessuto,,#39b54a,#39b54a,Bianco,Usurato,Mini Moschettone,1,No,,
Irene,012,003,012_Irene_003.jpg,,Campari,Ciondoli,Rosso,,35 g,Metallo,,#ff0000,#39b54a,Bianco,Usurato,Anello singolo,1,No,,
Irene,013,004,013_Irene_004.jpg,,Tag Bianca,Tag,Bianco,,2 g,Plastica,,#fafafa,#39b54a,,Usurato,Anello singolo,1,No,,
Chiara_N,014,001,014_Chiara_N_001.jpg,,Tag rosa,Tag,Rosa,,5 g,Plastica,,#ff99cc,#39b54a,,Ottime condizioni,Anello singolo,1,Si,,
Chiara_N,015,002,015_Chiara_N_002.jpg,,Apribottiglie Las Vegas,Apribottiglie,Rosa,,27 g,Metallo,,#ff99cc,#39b54a,,Graffi,Anello singolo,1,,,
Chiara_N,016,003,016_Chiara_N_003.jpg,,Lanyard Nero,Lanyard,Nero,,14 g,Tessuto,Metallo,#050505,#39b54a,Bianco,Usurato,Mini Moschettone,0,,,
Sabrina,017,001,017_Sabrina_001.jpg,,Pizza,Cibo,Rosso,,19 g,Metallo,,#ff0000,#39b54a,Verde,Ottime condizioni,Anello singolo,1,,,
Sabrina,018,002,018_Sabrina_002.jpg,,Elefante,Ciondoli,Grigio,Elefante Fallico,27 g,Metallo,,#b3b3b3,#39b54a,,Graffi,Anello singolo,1,,,
Sabrina,019,003,019_Sabrina_003.jpg,,Laccio con perle,Ciondoli,Nero,,5 g,Tessuto,Plastica,#050505,#39b54a,"Bianco, Rosso",Ottime condizioni,Anello singolo,1,,,
Sabrina,020,004,020_Sabrina_004.jpg,,Carte gioco,Portafortuna,Bianco,Portacarte Briscola,15 g,Carta,SimilPelle,#fafafa,#39b54a,Giallo,Ottime condizioni,Anello singolo,1,,,
Sabrina,021,005,021_Sabrina_005.jpg,,Gatto,Personaggio,Grigio,Gatto ,9 g,Metallo,,#b3b3b3,#39b54a,,Ottime condizioni,Anello singolo,1,,,
Sabrina,022,006,022_Sabrina_006.jpg,,Peperoncini,Portafortuna,Rosso,,20 g,Plastica,Metallo,#ff0000,#39b54a,,Ottime condizioni,Anello singolo,1,,,
Lorenzo_B,023,001,023_Lorenzo_B_001.jpg,,Peperoncino,Portafortuna,Rosso,,24 g,Plastica,Metallo,#ff0000,#39b54a,,Parti mancanti,Multiplo,1,,,
Lorenzo_B,024,002,024_Lorenzo_B_002.jpg,,I have an Angel,Portafortuna,Grigio,,17 g,Metallo,,#b3b3b3,#39b54a,,Graffi,Anello singolo,1,,,
Marta,025,001,025_Marta_001.jpg,,Moschettone Anello,Moschettone,Rosso,,14 g,Metallo,,#ff0000,#39b54a,Grigio,Usurato,"Moschettone, Anello singolo",2,,,
Marta,026,002,026_Marta_002.jpg,,Tartaruga,Personaggio,Rosa,,23 g,Metallo,,#ff99cc,#39b54a,"Giallo, Rosso",Graffi,Anello con catenella,1,,,
Manuel,027,001,027_Manuel_001.jpg,,Palla tennis,Strumento,Rosa,,8 g,Metallo,Tessuto,#ff99cc,#39b54a,,Usurato,Anello singolo,1,,,
Manuel,028,002,028_Manuel_002.jpg,,Tag,Tag,Bianco,,4 g ,Plastica,,#fafafa,#39b54a,,Usurato,Anello singolo,1,,,
Manuel,029,003,029_Manuel_003.jpg,,Moschettone,Moschettone,Grigio,,20 g,Metallo,,#b3b3b3,#39b54a,,Graffi,Moschettone,0,,,
Maude,030,001,030_Maude_001.jpg,,Apri Bottiglie,Apribottiglie,Blu,,7 g,Metallo,,#0000ff,#39b54a,,Ottime condizioni,Anello singolo,1,,,
Maude,031,002,031_Maude_002.jpg,,Tag,Tag,Bianco,,7 g,Plastica,,#fafafa,#39b54a,,Graffi,Anello singolo,1,,,
Sofia,032,001,032_Sofia_001.jpg,,Bugs Bunny,Personaggio,Grigio,Bugs Bunny,3 g,Gomma,,#b3b3b3,#39b54a,Giallo,Ottime condizioni,Cordicella,1,,,
Sofia,033,002,033_Sofia_002.jpg,,Casa rosa,Ciondoli,Giallo,,30 g,Metallo,,#ffff00,#39b54a,Rosa,Graffi,Anello singolo,1,,,
Sofia,034,003,034_Sofia_003.jpg,,Scritta Sal,Ciondoli,Marrone,,6 g,Legno,,#754c24,#39b54a,,Graffi,Anello con catenella,1,,,
Maria,035,001,035_Maria_001.jpg,,Banana,Personaggio,Giallo,Uomo Lego con costume banana,43 g,Plastica,,#ffff00,#39b54a,,Ottime condizioni,Anello singolo,1,,,
Carmela,036,001,036_Carmela_001.jpg,,Tag Disegno,Tag,Viola,,6 g,Plastica,Metallo,#7a3192,#39b54a,Grigio,Usurato,Anello singolo,1,,,
Alice ,037,001,037_Alice_001.jpg,,Peperoncini,Portafortuna,Rosso,,2 g,Plastica,Tessuto,#ff0000,#39b54a,,Ottime condizioni,Anello singolo,1,Si,,
ISIA,038,001,038_ISIA_001.jpg,,Uffici,Tag,Rosa,,46 g,Plastica,Metallo,#ff99cc,#39b54a,,Graffi,Anello singolo,1,Si,3,
ISIA,039,002,039_ISIA_002.jpg,,tag caldaia,Tag,Bianco,,16 g,Plastica,Metallo,#fafafa,#39b54a,,Buone condizioni,"Anello singolo, Uncino",2,Si,1,
